questionID,category,sets,question,A,B,C,D,AnswerKey
TIMSS_1995_8_I15,Train,easy,"Maria collected the gas given off by a glowing piece of charcoal. The gas was then bubbled through a small amount of colorless limewater. Part of Maria's report stated, ""After the gas was put into the jar, the limewater gradually changed to a milky white color."" This statement is ", an observation , a conclusion , a generalization , an assumption of the investigation ,A
TIMSS_2007_8_pg53,Test,chal,"Sally placed electrodes into a beaker containing a solution and connected the electrodes to a batter. Part of Sally's report stated ""Bubbles were given off at one of the electrodes."" The statement is ", an observation , a prediction , a conclusion , a theory ,A
NYSEDREGENTS_2013_8_12,Test,easy,A cell's chromosomes contain , genes , chlorophyll , sperm , eggs,A
NYSEDREGENTS_2010_8_12,Test,easy,Cancer is most often the result of , abnormal cell division , natural selection , bacterial infection , biological adaptation,A
NYSEDREGENTS_2015_8_20,Test,easy,All of the different organisms interacting in a pond make up , a community , a population , the water cycle , the habitat,A
NYSEDREGENTS_2010_8_9,Test,easy,What model is used to show the pattern of traits that are passed from one generation to the next in a family? , pedigree chart , dichotomous key , energy pyramid , line graph,A
NYSEDREGENTS_2015_8_45,Test,easy,A student writes in a laboratory notebook: I placed a piece of iron in a beaker of water and the iron sank to the bottom of the beaker. What the student wrote in the laboratory notebook is an example of a(n) , observation , prediction , inference , hypothesis,A
NYSEDREGENTS_2010_8_15,Test,easy,"When the environment changes more quickly than a species can adapt, the species may become ", extinct , dominant , diverse , overpopulated,A
NYSEDREGENTS_2013_8_16,Test,easy,Which pathway do most nutrients take after a person takes a bite of food? , digestive system -> circulatory system -> body cells , circulatory system -> body cells -> digestive system , digestive system -> body cells -> circulatory system , circulatory system -> digestive system -> body cells,A
NYSEDREGENTS_2013_8_43,Test,easy,Which type of energy is transferred from one object to another by simple machines? , mechanical , chemical , nuclear , electrical,A
NYSEDREGENTS_2013_8_8,Test,easy,Humans are protected from some infections by specialized cells which produce chemicals that , destroy microbes , recycle nutrients , allow locomotion , coordinate movement,A
NYSEDREGENTS_2008_8_26,Test,easy,Studies of earthquake waves have helped scientists determine the , structure of Earth's interior , depth of the oceans , cause of dinosaur extinction , age of Earth,A
NYSEDREGENTS_2013_8_40,Test,easy,People often wear sunglasses in polar regions because most of the sunlight that strikes a snow-covered surface is , reflected , absorbed , refracted , transmitted,A
NYSEDREGENTS_2015_8_6,Test,easy,The primary role of the endocrine system is to , produce hormones that regulate body functions , form chemicals that destroy microbes , break down food to release nutrients , supply red blood cells to carry oxygen,A
NYSEDREGENTS_2013_8_22,Test,easy,A biological community is made up of all the , populations living in an area , natural resources present in an area , members of a species on Earth , environments on Earth,A
NYSEDREGENTS_2012_8_15,Test,easy,"Which process involves choosing certain organisms to reproduce with one another in order to pass on specific, desirable traits to their offspring? ", selective breeding , asexual reproduction , resource acquisition , natural selection,A
NYSEDREGENTS_2010_8_27,Test,easy,The Moon's surface is visible to an observer on Earth because the Moon , reflects sunlight , absorbs light from Earth , produces its own light , transmits sunlight,A
NYSEDREGENTS_2013_8_6,Test,easy,Which sequence represents the correct levels of organization for multicellular organisms? , cell -> tissue -> organ -> organ system , tissue -> organ -> cell -> organ system , organ system -> organ -> cell -> tissue , cell -> organ -> tissue -> organ system,A
NYSEDREGENTS_2012_8_17,Test,easy,The basic life functions of an organism are carried on by , cells , nutrients , atoms , hormones,A
NYSEDREGENTS_2012_8_11,Test,easy,Which health condition is an infectious disease? , pneumonia caused by microorganisms , heart problem caused by a high-fat diet , lung cancer caused by smoking , eye damage caused by ultraviolet light,A
NYSEDREGENTS_2012_8_32,Test,easy,Which property of a substance indicates whether the substance is a liquid or a solid at room temperature? , melting point , electrical conductivity , flexibility , solubility,A
NYSEDREGENTS_2010_8_18,Test,easy,Which structure is found in a plant cell but not in an animal cell? , cell wall , cell membrane , cytoplasm , nucleus,A
NYSEDREGENTS_2013_8_26,Test,easy,The layered mixture of gases surrounding Earth is called the , atmosphere , hydrosphere , lithosphere , hemisphere,A
NYSEDREGENTS_2010_8_32,Test,easy,Which physical property is used to identify a mineral based on its resistance to being scratched? , hardness , density , color , streak,A
NYSEDREGENTS_2008_8_7,Test,easy,Which unit is used to express the amount of energy in food? , Calorie , degree Celsius , milliliter , gram,A
NYSEDREGENTS_2012_8_12,Test,easy,A structure that carries a single unit of hereditary information is a , gene , tissue , sex cell , pedigree chart,A
NYSEDREGENTS_2015_8_22,Test,easy,One positive effect of recycling aluminum cans to manufacture new beverage containers is , conserving Earth's resources , creating acid rain , warming Earth's atmosphere , increasing the ozone layer,A
NYSEDREGENTS_2012_8_14,Test,easy,Abnormal cell division in humans may result in , cancer , fertilization , asexual reproduction , dynamic equilibrium,A
NYSEDREGENTS_2011_8_4,Train,easy,Which type of energy in gasoline is transformed into mechanical energy in a motorcycle engine? , chemical , nuclear , magnetic , electrical,A
NYSEDREGENTS_2007_8_7,Train,easy,Which group of organisms can show significant trait changes in the shortest period of time? , bacteria , birds , fish , reptiles,A
