questionID,question,info
Mercury_412775,solution pH 2 increased pH 7 adding,"Add an aqueous solution of pH = 2. Add 30% NaOH solution and adjust to pH 7. c) Add an aqueous solution of pH 2. Label test tubes as follows: A- pH 2, B-pH 3, C-pH 5, D-pH 7, E-pH 8, F-pH 9, G-pH 12, H-pH 14 Add 3 ml of the indicator solution prepared in part 1 to each of the tubes. Concentrations of Pb in soil solution reach a minimum between pH 5 and 6 and increase below pH 4 to 5 and above pH 6 to 7, because metal-organic complexes form in this pH range(2). If CO 2 is removed from the solution, the pH will increase. to increase the pH in acidic soil, add limestone, 2. increased to 2 times what it was at pH 7. Add an aqueous solution of pH = 2. to"
Mercury_7221743,following elements least electrically conductive?,and (2) restate its published rates into at least the following rate elements: Electricity; Electrical connector including a physically nonyielding component for conducting electricity comprised at least in part of elemental carbon in the graphite form. shall be conducted according to procedures that shall include at least the following elements: 14.1. Elements of a Conduct Remedy We anticipate that any conduct-oriented decree would contain at least the following elements: - (e) The element is a metal and will not conduct electricity. Which elements conduct electricity readily? CONDUCTIBILITY : property of an element to transmit electricity. ___________________________________ What class of elements conduct electricity? and (2) restate its published rates into at least the following rate elements: Electricity; Electrical connector including a physically nonyielding component for conducting electricity comprised at least in part of elemental carbon in the graphite form. Which elements c
NCEOGA_2013_8_59,food provides energy body shortest amount time?,"To provide your body with energy and nutrients, eat a variety of foods in moderate amounts. A unit of measure of the amount of fuel or energy a food provides to the body. When you reduce the amount of calories from food consumption drastically in a short amount of time, your body will automatically slow down its metabolic rate in order to conserve energy for survival. Food provides the body with energy and heat. This releases a tremendous amount of energy in a short amount of time. The amount of potential energy added to the body as food. To provide your body with energy and nutrients, eat a variety of foods in moderate amounts. To provide your body with energy and nutrients, eat a variety of fo"
Mercury_7084210,"researcher examines marine organism size average human hand. Without information, statement organism likely accurate?","TEM is used mainly for organic research, like examining a slice of a human lung. Accurate information, provided through field and laboratory research of marine life with the regard to toxins and chemicals, identifies possible hazardous health situations for humans and marine life. The average organism size was 31% higher within marine national parks; The organization strives to provide the media and the public with accurate information about humane and responsible animal research. Now the human hand comes in a variety of sizes, but the average size is pretty large. X1014077127-00392-89066</DOCNO> Statement by Pathology Organizations on Use of Human Tissues for Research Uses of Human Tissue August 28, 1996 Background In July 1994 the National Institutes of Health (NIH) and the Centers for Disease Control and Prevention (CDC) convened a workshop to examine issues of informed consent for genetic research. Correcting for mouth size, like the Duke researchers did, the Berkeley group found 15 non-human primate species whose average hypoglossal canal size is larger than the modern human average. organize and interpret research information accurately and logically; In size, like human noses, ears, hands and other organs, there is variation in different individuals. TEM is used mainly for organic research, like examining a slice of a human lung. X1014077127-00392-89066</DOCNO> Statement by Pathology Organizations on Use of Human Tissues for Research Uses of Human Tissue August 28, 1996 Background In July 1994 the National Institutes of Health (NIH) and the Centers for Disease Control an"
Mercury_7227833,structure found virus cell?,Cell and Virus Structure - Virus and cell membrane structure; Cell and Virus Structure - Virus and cell membrane structure; Cell and Virus Structure - Virus and cell membrane structure; Cell and Virus Structure - Virus and cell membrane structure;
Mercury_7200165,Mr. Jenkins's class studying sex chromosomes. tells students nuclei human cells 22 pairs autosomes. many sex chromosomes human body have?,"The nucleus of each somatic cell in the human body contains 46 chromosomes, consisting of 22 pairs of autosomes (non-sex chromosomes) and one pair of sex chromosomes. In human beings, each cell nucleus normally contains 46 chromosomes, with 22 pairs of autosomes and 1 pair of sex chromosomes. Human cells have 22 pairs of autosomes, one pair of sex chromosomes; Each cell in the human body contains 22 pairs of autosomal chromosomes, or chromosomes that are not associated with sex chromosomes. Human somatic cells have 46 total chromosomes - 22 homologous pairs of autosomes + 1 pair of sex chromosomes 2. Autosome Any paired chromosome that is alike in the cells of males and females, as distinguished from the sex chromosomes X or Y. Humans have 22 pairs of autosomes. Chromosomes come in pairs, and a normal human cell contains 46 chromosomes, 22 pairs of autosomes and two sex chromosomes. Chromosomes come in pairs, and a normal human cell contains 46 chromosomes--22 pairs of autosomes and two sex chromosomes. The nucleus of each somatic cell in the human body contains 46 chromosomes, consisting of 22 pairs of autosomes (non-sex chromosomes) and one pair of sex chromosomes. The nucleus of each somatic cell in the human body contains 46 chromosomes, consisting of 22 pairs of autosomes (non-sex chromosomes) and one pair of sex chrom"
Mercury_SC_412698,"One type cold remedy effervescent tablet breaks water. tablet placed water, forms gas bubbles. example, formation gas","For example, what happens if an effervescent tablet is placed in water? answer Tablet Product that dissolves in water with effervescent action (bubbles like seltzer tablets in water) Example of Tablet: __________ ? They investigate rusting, and they observe and collect the gas formed by mixing an effervescent tablet in water. They investigate rusting, and they observe and collect the gas formed by mixing an effervescent tablet and water. For example, if two wires from a battery were placed in water, oxygen gas bubbles would form around one wire and hydrogen gas bubbles would form on the other and the water would begin to disappear. When the fizzy tablet is placed in water, many little bubbles of gas escape. A bubble of gas is formed in the water. Effervescent tablet: A tablet that fizzes to dissolve when placed in water; E Effervesce Forming and breaking gas bubbles by chemical reaction. For example, what happens if an effervescent tablet is placed in water? answer Tablet Product that dissolves in water with effervescent action (bubbles like seltzer tablets in water) Example of Tablet: __________ ? They investigate rusting, and they observe and collect the gas formed by mixing an effervescent tablet in water. The"
Mercury_7001523,Storms transport water form rain. energy starts process comes,"Water, in the form of rain, of storm. Water Water can come in many forms, It is liquid in fierce rain storms. Heavy rains during the past couple of weeks have really muddied the waters on inland trout streams and just as they start to clear, another storm comes through and starts the process all over again. This storm was the start of the drought-busting rains to come. Most nutrients and energy come from dead organic matter (plant and animal parts), soil pores are filled with air and water, for instance rain water that transports particles downwards, and plant roots that penetrate the soil matrix form pores and exudate organic substances. It started to rain and a storm developed. Another is if it starts rain and there is a storm. Most of the water seen in the wash come from infrequent rain storms. Storm water discharges come from rain, snow and other precipitation. Water, in the form of rain, of storm. Heavy rains during the past couple of weeks have really muddied the waters on inland trout streams and just as they start to clear, another storm comes through and starts "
Mercury_SC_407186,chicken able gain energy came Sun,"For example, students should be able to illustrate energy gain directly or indirectly from the sun; The energy comes from the sun; Energy that comes from the sun. Now the chickens have come home to roost with energy. For example, students should be able to illustrate energy gain directly or indirectly from the sun; The energy comes from the sun; Energy that comes from the sun."
ACTAAP_2013_5_14,"Mr. Pratt science demonstration. inflates balloon, places freezer, removes 10 minutes. best describes balloon's volume freezer removed allowed warm up?","Place the balloon into the freezer for 15 minutes. Place their balloons in the freezer for 15 minutes. Remove the tofu from the freezer and place it in warm water for 10 minutes. Measure the balloons circumference immediately after removing the balloons from the freezer. The pressure in the freezer is atmospheric pressure, the temperature in the freezer is lower that the outside temperature, so the volume of the balloon decreases when it is placed into the freezer. Remove the bottle from freezer and put a blown up balloon on the neck of the bottle. Remove from the freezer and allow the molds to sit for 10 minutes. To serve, remove from freezer and allow to stand 10 minutes. Place in freezer 10 minutes or until plastic wrap can be easily removed. Place the ice in the freezer and remove 10-15 minutes before serving time. Place the balloon into the freezer for 15 minutes. The pressure in the freezer is atmospheric pressure, the temperature in the freezer is"
MEA_2014_5_13,source food growth mushroom?,"These events result in a food source most suited for the growth of the mushroom to the exclusion of other fungi and bacteria. Mushroom Parts Cap Gills Mycelium Mushroom Food Source Some are parasitic, but most live on dead or decaying matter Mushroom Types Mushrooms Brackets Puff Balls Mushroom Stages Of Growth Mushroom Parts Stages Of Mushroom Growth Mushroom Types Mushrooms Yeast Sac Fungi Yeast, ergot Spores produced in sac called a ascus. Mushroom mycelium as a potential source of food flavour. Best food sources are mushrooms, eggs and lentils. It is not a mushroom growth. Food Microbiology research includes lacto-bacillus fermentation and growth of exotic mushrooms; Conditioning - Creation of specific food for the mushroom and creating a selective and suppressive compost to favor the growth of the mushroom. Preparation of the food source for growth of the microorganism. This combination constitutes the essential food source for growing shiitake mushrooms. The decomposing forest mulch is the food source for the Ponderosa (White Matsutaki) mushroom. These events result in a food source most suited for the growth of the mushroom to the exclusion of other fungi and bacteria. Food Microbiology research includes lacto-bacillus fermentation and growth of exotic mushrooms; Conditioning - Cr"
Mercury_SC_402643,"switch simple series circuit closed, happens light bulb electricity flowing to?","In our circuit the electrical current flows from one terminal of the battery through the closed switch to the light bulb. With switch closed, electricity flows through wires, switch and bulb, to light up the bulb. charger and motor - no battery and motor - yes battery and sinkers - no motor and sinkers - yes Components (parts) - objects which make up a system or subsystem - charger, battery, motor, sinkers Excursion 1-1 Circuit - path which electricity follows Closed Circuit - continuous path - electricity can flow - bulb will light Open Circuit - path is not continuous - there is a break in the path - electricity cannot flow - bulb will not light examples - switch is open - test lead is unhooked - bulb is burned out - bulb is unscrewed Series Circuit - only one path for the electricity to flow in - if the circuit is open in one place, all electricity flow stops (Diagram) Parallel Circuit - electricity can flow through more than one possible path. The telegraph is a simple device like a light switch that opens and closes an electrical circuit. D. Construct a simple series circuit to light a bulb. Build the simple circuit with 2 light bulbs in series. Close the switch, electricity flows and the light is on. By constructing a closed circuit making a light bulb glow and creating a switch, students are given the opportunity to explore electricity first-hand. Fourth Grade Fall: Circuits and Pathways In this unit students: Work with batteries, bulbs, wires, switches, and connectors to develop an understanding of simple, closed, series and parallel circuits. The teacher provides students with the materials to make and draw electrical circuits for the following challenges, allowing students to determine the characteristics of series and parallel circuits: design a circuit to make a light bulb go on (simple circuit with one light bulb) design a circuit with two bulbs that causes both bulbs to go off when one is disconnected (series circuit with two light bulbs) design a circuit with two bulbs that causes one bulb to stay on when the other bulb is disconnected (parallel circuit with two light bulbs) SUGGESTED ASSESSMENT STRATEGIES Context Students can demonstrate their knowledge of electricity by constructing and interpreting diagrams and circuits, and responding to oral and written questions. In our circuit the electrical current flows from one terminal of the battery through the closed switch to the light bulb. cha"
MCAS_2008_5_5633,"Students want plant lemon tree school, cold winter temperatures Massachusetts would kill tree. following best solution problem?","If kept inside too long, the tree begins to grow and is damaged or killed when planted outside in the cold temperatures of an Iowa winter. The outbreak ended following extremely cold temperatures during the winter of 1993-1994 that killed most of the beetles in infested trees. In the winter, very cold temperatures can kill trees outright, or periods when the soil is frozen followed by sudden warming trends can severely stress or kill trees. Tree roses are particularly sensitive to cold winter temperatures. The original tree was killed by cold in the winter of 1895-96. In such cases, the sapwood in the trunks and branches of affected trees and shrubs was injured or killed due to cold winter temperatures. A long winter with steady cold temperatures, and a cool, wet spring delayed orchard work and planting of new trees. If temperatures drop too low during the winter, entire trees of some species are killed by the freezing and splitting of plant cells and tissue. If temperatures drop too low during the winter, entire trees of some species are killed by the freezing of plant cells and tissue. Planting trees raises the students' awareness of the problem and enables them to participate In a solution. If kept inside too long, the tree begins to grow and is damaged or killed when planted outside in the cold temperatures of an Iowa winter. If kept inside t"
Mercury_7218733,"water cycle, water moving oceans clouds involves change water?","The water cycle is the moving of water from clouds to land, from land to ocean, and from the ocean back into clouds. Water moves from clouds to land and back to the ocean in a never ending cycle. the water cycle (ocean to clouds to rivers to ocean); Hydrologic Cycle - Continual natural cycle through which water moves from oceans to clouds to ground and ultimately back to the oceans. It involves setting up seven stations that are all a part of the water cycle--cloud, mountain, ocean, stream, groundwater, animal, and plant. The cycle begins with water evaporating from oceans and forming clouds that move over the continents. Water continuously moves through a global cycle, evaporating from lakes and oceans, forming clouds, precipitating as rain or snow, and flowing back to the oceans. Focus is on the role of circulation, clouds, radiation, water vapor, and precipitation in climate change, and the role of ocean-atmosphere interactions in energy and water cycles. Primary problem areas include the role of circulation, clouds, radiation, water vapor, and precipitation in climate change, and the role of ocean-atmosphere interactions in the energy and water cycles. The water cycle is the moving of water from clouds to land, from land to ocean, and from the ocean back into clouds. Primary problem areas include the role of circulation, clouds, radiat"
MDSA_2011_8_10,"crust, mantle, core structures Earth. description feature Earth's mantle?","The structure of the earth, core, mantle, and crust; structure of the Earth - crust, mantle, core; the structure of the mantle and crust of the Earth; CRUST MANTLE CORE Beneath the mantle is the Earth's core. The layers of the Earth are the crust, mantle and core. This differentiates the Earth into a core and mantle/crust. minerals of the earth's crust, mantle, and core; The Earth is divided into crust, mantle , and core. Structure of the Earth's mantle and core. Structure of Earth's mantle and core. The structure of the earth, core, mantle, and crust; structure of the Earth - crust, mantle, core; the structure of the mantle and crust of the Earth; CRUST MANTLE CORE Beneath the mantle is the Earth's core. minerals of the earth's crust, mantle, and core; The Earth"
MCAS_2007_8_5168,following Earth layers greatest density?,"The Earth is organized in layers defined by density. Density can be related to layers of the earth, ocean currents. What is the best estimate of the densities of the various layers of the Earth? Mercury's density is almost as great as Earth's. Which of the following is not a layer of the earth? Density is a bit lower in the Moon but close to the density of Earth's outer layers. A layer of grass and weeds followed then a layer of earth. Figure 14.2: The layers of the Earth These layers are grouped as follows: The Earth's structure is layered and this stratification exists because of differences in density. --> crust The rocky, relatively low density, outermost layer of the Earth. The Earth is organized in layers defined by density. A layer of grass and weeds followed then a layer o"
